target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4383.68	205	2.019
NM_000015.3	1285	1058.68	0	0
NM_000016.6	2261	2034.68	1239.52	26.3013
NM_000017.4	1859	1632.68	195	5.1565
NM_000018.4	2184	1957.68	10851.1	239.306
NM_000019.4	1537	1310.68	1647.49	54.2684
NM_000020.3	4177	3950.68	0	0
NM_000021.4	6018	5791.68	817.15	6.09142
NM_000022.4	1496	1269.68	219.561	7.46592
NM_000023.4	1429	1202.68	0	0
NM_000024.6	2013	1786.68	31	0.749094
NM_000025.3	2585	2358.68	2.11324	0.0386813
NM_000026.4	4359	4132.68	352.733	3.68499
NM_000027.4	2037	1810.68	1009.08	24.0604
NM_000028.3	7314	7087.68	0	0
NM_000030.3	2900	2673.68	0	0
NM_000031.6	3129	2902.68	1583.77	23.5567
NM_000032.5	1940	1713.68	0	0
NM_000033.4	3669	3442.68	973.419	12.2074
NM_000035.4	2420	2193.68	4	0.0787241
NM_000036.3	2335	2108.68	0	0
NM_000037.4	8292	8065.68	0	0
NM_000038.6	10704	10477.7	1110.33	4.57516
NM_000039.3	899	672.678	0	0
NM_000040.3	535	314.434	0	0
NM_000041.4	1166	939.678	42	1.92971
NM_000042.3	1174	947.678	0	0
NM_000043.6	3696	3469.68	1795.28	22.339
NM_000044.6	10667	10440.7	653.857	2.7038
NM_000045.4	1447	1220.68	0	0
NM_000046.5	4852	4625.68	2490.14	23.2418
NM_000047.3	2219	1992.68	6.88848	0.149248
NM_000048.4	2140	1913.68	807.933	18.2275
NM_000049.4	5422	5195.68	15.9949	0.132911
NM_000050.4	1863	1636.68	52.5198	1.38542
NM_000051.4	12915	12688.7	1282.07	4.3623
NM_000052.7	8492	8265.68	1009	5.27028
NM_000053.4	6598	6371.68	19.5818	0.132684
NM_000054.7	1825	1598.68	0	0
NM_000055.4	2405	2178.68	163.925	3.24842
NM_000056.5	1506	1279.68	159.182	5.37048
NM_000057.4	5240	5013.68	389.407	3.35326
NM_000059.4	11954	11727.7	773.845	2.84881
NM_000061.3	2575	2348.68	0	0
NM_000062.3	1830	1603.68	2028.25	54.6042
NM_000063.6	2610	2383.68	47.6922	0.863814
NM_000064.4	5231	5004.68	5269	45.4541
NM_000065.5	3691	3464.68	1	0.0124611
NM_000066.4	2040	1813.68	1	0.0238046
NM_000067.3	1562	1335.68	18	0.581824
NM_000068.4	8660	8433.68	0	0
