target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4386.63	901.319	8.9418
NM_000015.3	1285	1061.63	1	0.0409925
NM_000016.6	2261	2037.63	1287.7	27.5021
NM_000017.4	1859	1635.63	167	4.44333
NM_000018.4	2184	1960.63	8680.79	192.682
NM_000019.4	1537	1313.63	2022.39	66.9991
NM_000020.3	4177	3953.63	0	0
NM_000021.4	6018	5794.63	993.67	7.46267
NM_000022.4	1496	1272.63	249.124	8.51905
NM_000023.4	1429	1205.63	73.9737	2.67018
NM_000024.6	2013	1789.63	149	3.62327
NM_000025.3	2585	2361.63	3.23376	0.05959
NM_000026.4	4359	4135.63	134.526	1.41561
NM_000027.4	2037	1813.63	443.155	10.6337
NM_000028.3	7314	7090.63	0	0
NM_000030.3	2900	2676.63	3.75283	0.0610167
NM_000031.6	3129	2905.63	1504.37	22.5316
NM_000032.5	1940	1716.63	0	0
NM_000033.4	3669	3445.63	801.494	10.123
NM_000035.4	2420	2196.63	1	0.0198116
NM_000036.3	2335	2111.63	0	0
NM_000037.4	8292	8068.63	0	0
NM_000038.6	10704	10480.6	1211.6	5.03096
NM_000039.3	899	675.631	2	0.128824
NM_000040.3	535	316.87	0	0
NM_000041.4	1166	942.631	136.019	6.27967
NM_000042.3	1174	950.631	0	0
NM_000043.6	3696	3472.63	1818.81	22.7933
NM_000044.6	10667	10443.6	585.888	2.44141
NM_000045.4	1447	1223.63	0	0
NM_000046.5	4852	4628.63	1845.84	17.3547
NM_000047.3	2219	1995.63	1.22259	0.0266611
NM_000048.4	2140	1916.63	809.337	18.3767
NM_000049.4	5422	5198.63	8.55621	0.0716259
NM_000050.4	1863	1639.63	13.1483	0.34898
NM_000051.4	12915	12691.6	1095.82	3.75751
NM_000052.7	8492	8268.63	815.253	4.29078
NM_000053.4	6598	6374.63	32.6026	0.222574
NM_000054.7	1825	1601.63	0	0
NM_000055.4	2405	2181.63	76	1.51604
NM_000056.5	1506	1282.63	192.739	6.53952
NM_000057.4	5240	5016.63	835.869	7.2511
NM_000059.4	11954	11730.6	951.585	3.53024
NM_000061.3	2575	2351.63	0	0
NM_000062.3	1830	1606.63	1868.69	50.6172
NM_000063.6	2610	2386.63	20.4425	0.372757
NM_000064.4	5231	5007.63	116	1.0081
NM_000065.5	3691	3467.63	0	0
NM_000066.4	2040	1816.63	1	0.0239558
NM_000067.3	1562	1338.63	8	0.26008
NM_000068.4	8660	8436.63	0	0
NM_000069.3	6028	5804.63	0	0
NM_000070.3	3315	3091.63	52.4725	0.738622
NM_000071.3	2495	2271.63	802.387	15.3718
NM_000072.3	2108	1884.63	1039.93	24.0135
NM_000073.3	2690	2466.63	0	0
NM_000074.3	1852	1628.63	0	0
NM_000075.4	1865	1641.63	3281.97	87.0034
NM_000076.2	1943	1719.63	2.30655	0.0583721
NM_000077.5	978	754.631	47.9683	2.76629
NM_000078.3	1691	1467.63	0	0
NM_000079.4	1984	1760.63	50	1.23589
NM_000080.4	2482	2258.63	16.6228	0.320286
NM_000081.4	13466	13242.6	550.6	1.80942
NM_000082.4	9414	9190.63	323.376	1.53123
NM_000083.3	3187	2963.63	0	0
NM_000084.5	9472	9248.63	230.653	1.08532
NM_000085.5	2562	2338.63	0	0
NM_000086.2	1879	1655.63	187.25	4.92193
NM_000087.5	2784	2560.63	0	0
NM_000088.4	5914	5690.63	1.43445e+06	10969.9
NM_000089.4	5072	4848.63	737524	6619.65
NM_000090.4	5490	5266.63	217560	1797.73
NM_000091.5	8038	7814.63	0	0
NM_000092.5	9984	9760.63	0	0
NM_000093.5	8442	8218.63	71997.3	381.236
NM_000094.4	9231	9007.63	6951.24	33.5838
NM_000095.3	2452	2228.63	206	4.0226
NM_000096.4	4452	4228.63	0	0
NM_000097.7	2709	2485.63	2320.55	40.6286
NM_000098.3	2699	2475.63	511.491	8.99144
NM_000099.4	793	569.812	7195.07	549.518
NM_000100.4	588	367.665	4285	507.196
NM_000101.4	692	469.739	2522.35	233.682
NM_000102.4	1750	1526.63	0	0
NM_000103.4	4403	4179.63	4.20289e-05	4.3761e-07
NM_000104.4	5218	4994.63	2171	18.9162
NM_000106.6	1588	1364.63	0	0
NM_000107.3	1815	1591.63	723.432	19.7803
NM_000108.5	3537	3313.63	3027.94	39.7668
NM_000109.4	13854	13630.6	0	0
NM_000110.4	4423	4199.63	2066.48	21.414
NM_000111.3	2882	2658.63	0	0
NM_000112.4	8054	7830.63	1850.51	10.2842
NM_000113.3	2080	1856.63	3123	73.2022
NM_000115.5	4274	4050.63	0	0
NM_000116.5	1906	1682.63	33.2436	0.859798
NM_000117.3	1281	1057.63	2338	96.2029
NM_000118.4	3082	2858.63	646.935	9.84874
NM_000119.3	2434	2210.63	0	0
NM_000120.4	1780	1556.63	0	0
NM_000121.4	2411	2187.63	296.379	5.89592
NM_000122.2	2718	2494.63	1887.93	32.9351
NM_000123.4	3888	3664.63	2511.59	29.8261
NM_000124.4	9001	8777.63	1120.56	5.55564
NM_000125.4	6327	6103.63	34.3129	0.244651
NM_000126.4	2289	2065.63	836.489	17.6232
NM_000127.3	8243	8019.63	17587	95.4366
NM_000128.4	3053	2829.63	0	0
NM_000129.4	3828	3604.63	2	0.0241461
NM_000130.5	9132	8908.63	4.0019	0.0195494
NM_000131.4	3144	2920.63	0	0
NM_000132.4	9032	8808.63	24.0847	0.11899
NM_000133.4	2800	2576.63	0	0
NM_000134.4	2226	2002.63	1	0.0217309
NM_000135.4	5452	5228.63	1831.24	15.2418
NM_000136.3	4592	4368.63	418.286	4.16683
NM_000137.4	1456	1232.63	499.657	17.6407
NM_000138.5	11609	11385.6	116091	443.731
NM_000139.5	3648	3424.63	0	0
NM_000140.5	7689	7465.63	1079.91	6.29505
NM_000141.5	4624	4400.63	8.0265	0.0793759
NM_000142.5	4301	4077.63	121.653	1.29835
NM_000143.4	1791	1567.63	4837	134.28
NM_000144.5	6978	6754.63	380.495	2.45146
NM_000145.4	2762	2538.63	0	0
NM_000146.4	871	647.631	24891	1672.6
NM_000147.5	2043	1819.63	235.038	5.62125
NM_000148.4	4214	3990.63	0	0
NM_000149.4	2565	2341.63	0	0
NM_000150.4	3326	3102.63	0	0
NM_000151.4	4164	3940.63	0	0
NM_000152.5	3751	3527.63	35.8697	0.442509
NM_000153.4	3794	3570.63	857.354	10.4494
NM_000154.2	1397	1173.63	621.572	23.0482
NM_000155.4	1756	1532.63	319.135	9.06181
NM_000156.6	1110	886.631	242.334	11.8946
NM_000157.4	2291	2067.63	1433.82	30.1786
NM_000158.4	2941	2717.63	13513	216.391
NM_000159.4	1852	1628.63	489.168	13.0711
NM_000160.5	2030	1806.63	0	0
NM_000161.3	2916	2692.63	70.5303	1.13993
NM_000162.5	2745	2521.63	0	0
NM_000163.5	4899	4675.63	245.859	2.28836
NM_000164.4	3310	3086.63	0	0
NM_000165.5	3083	2859.63	11350	172.728
NM_000166.6	1937	1713.63	0	0
NM_000167.6	4410	4186.63	54.7281	0.568884
NM_000168.6	8405	8181.63	197.523	1.05065
NM_000169.3	1318	1094.63	795.763	31.6369
NM_000170.3	3843	3619.63	56	0.673289
NM_000171.4	1812	1588.63	0	0
NM_000172.4	2465	2241.63	5.18832	0.100726
NM_000173.7	2514	2290.63	16	0.303978
NM_000174.5	877	653.631	0	0
NM_000175.5	4125	3901.63	15058	167.958
NM_000176.3	6778	6554.63	751.853	4.99186
NM_000177.5	2619	2395.63	2155.17	39.1508
NM_000178.4	1909	1685.63	1930.33	49.8364
NM_000179.3	4265	4041.63	2609.61	28.0994
NM_000180.4	3680	3456.63	0	0
NM_000181.4	2199	1975.63	416.14	9.16667
NM_000182.5	2943	2719.63	7649.98	122.413
NM_000183.3	1997	1773.63	3347.09	82.1263
NM_000184.3	586	365.702	0	0
NM_000185.4	2203	1979.63	51	1.12115
NM_000186.4	3962	3738.63	680.34	7.91938
NM_000187.4	1674	1450.63	0	0
NM_000188.3	3602	3378.63	12549.5	161.645
NM_000189.5	5626	5402.63	5228.88	42.1193
NM_000190.4	1505	1281.63	779.872	26.4812
NM_000191.3	1570	1346.63	615.406	19.888
NM_000192.3	3921	3697.63	147.98	1.74164
NM_000193.4	4650	4426.63	0	0
NM_000194.3	1395	1171.63	1607	59.6902
NM_000195.5	3703	3479.63	42.9357	0.536987
NM_000196.4	1896	1672.63	0	0
NM_000197.2	1159	935.631	1	0.0465129
NM_000198.4	1675	1451.63	0	0
NM_000199.5	2705	2481.63	507.036	8.89159
NM_000200.3	532	314.03	0	0
NM_000201.3	2967	2743.63	458.096	7.26623
NM_000202.8	7580	7356.63	4258.26	25.1902
NM_000203.5	2174	1950.63	259.052	5.77949
NM_000204.5	1978	1754.63	29.7094	0.736861
NM_000206.3	1480	1256.63	0	0
NM_000207.3	465	252.546	0	0
NM_000208.4	9463	9239.63	514.037	2.42113
