target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4378.55	100.088	1.07766
NM_000015.3	1285	1053.55	0	0
NM_000016.6	2261	2029.55	1292.16	30.0155
NM_000017.4	1859	1627.55	158	4.5767
NM_000018.4	2184	1952.55	6923.95	167.179
NM_000019.4	1537	1305.55	2207.43	79.7118
NM_000020.3	4177	3945.55	0	0
NM_000021.4	6018	5786.55	665.155	5.41916
NM_000022.4	1496	1264.55	149.835	5.58609
NM_000023.4	1429	1197.55	7	0.275571
NM_000024.6	2013	1781.55	26	0.688026
NM_000025.3	2585	2353.55	1.02994	0.0206309
NM_000026.4	4359	4127.55	229.712	2.62374
NM_000027.4	2037	1805.55	623.231	16.2731
NM_000028.3	7314	7082.55	1.13465e-05	7.55269e-08
NM_000030.3	2900	2668.55	0	0
NM_000031.6	3129	2897.55	1445.22	23.5142
NM_000032.5	1940	1708.55	0	0
NM_000033.4	3669	3437.55	582.372	7.98695
NM_000035.4	2420	2188.55	0	0
NM_000036.3	2335	2103.55	0	0
NM_000037.4	8292	8060.55	0	0
NM_000038.6	10704	10472.5	944.503	4.25187
NM_000039.3	899	667.547	0	0
NM_000040.3	535	309.305	0	0
NM_000041.4	1166	934.547	20	1.00892
NM_000042.3	1174	942.547	0	0
NM_000043.6	3696	3464.55	1430.12	19.4605
NM_000044.6	10667	10435.5	333.459	1.50645
NM_000045.4	1447	1215.55	0	0
NM_000046.5	4852	4620.55	1380.12	14.0816
NM_000047.3	2219	1987.55	0	0
NM_000048.4	2140	1908.55	742.446	18.3396
NM_000049.4	5422	5190.55	13.4165	0.121858
NM_000050.4	1863	1631.55	30.5824	0.88369
NM_000051.4	12915	12683.5	642.004	2.38631
NM_000052.7	8492	8260.55	716	4.08633
NM_000053.4	6598	6366.55	55.4297	0.410457
NM_000054.7	1825	1593.55	0	0
NM_000055.4	2405	2173.55	164.159	3.56062
NM_000056.5	1506	1274.55	131.292	4.85636
NM_000057.4	5240	5008.55	627.378	5.90536
NM_000059.4	11954	11722.5	976.879	3.92869
