target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4382.51	461	5.20597
NM_000015.3	1285	1057.51	0	0
NM_000016.6	2261	2033.51	932.009	22.6828
NM_000017.4	1859	1631.51	167.208	5.07213
NM_000018.4	2184	1956.51	8888.14	224.829
NM_000019.4	1537	1309.51	1520.5	57.4647
NM_000020.3	4177	3949.51	0	0
NM_000021.4	6018	5790.51	920.764	7.86965
NM_000022.4	1496	1268.51	316.357	12.3426
NM_000023.4	1429	1201.51	6.45976	0.26608
NM_000024.6	2013	1785.51	20	0.554359
NM_000025.3	2585	2357.51	0	0
NM_000026.4	4359	4131.51	207.573	2.48649
NM_000027.4	2037	1809.51	371.595	10.1633
NM_000028.3	7314	7086.51	0	0
NM_000030.3	2900	2672.51	0	0
NM_000031.6	3129	2901.51	1502.38	25.626
NM_000032.5	1940	1712.51	0	0
NM_000033.4	3669	3441.51	872.522	12.5473
NM_000035.4	2420	2192.51	0	0
NM_000036.3	2335	2107.51	0	0
NM_000037.4	8292	8064.51	0	0
NM_000038.6	10704	10476.5	499.492	2.35959
NM_000039.3	899	671.514	3	0.221101
NM_000040.3	535	312.251	0	0
NM_000041.4	1166	938.514	66	3.48039
NM_000042.3	1174	946.514	0	0
NM_000043.6	3696	3468.51	1351.64	19.2861
NM_000044.6	10667	10439.5	342.247	1.6225
NM_000045.4	1447	1219.51	0	0
NM_000046.5	4852	4624.51	2405.28	25.7409
NM_000047.3	2219	1991.51	13.8607	0.344449
NM_000048.4	2140	1912.51	675.806	17.4881
NM_000049.4	5422	5194.51	14.7659	0.140682
NM_000050.4	1863	1635.51	61.8213	1.87072
NM_000051.4	12915	12687.5	1296.98	5.05919
NM_000052.7	8492	8264.51	712.949	4.26939
NM_000053.4	6598	6370.51	21.9625	0.17062
NM_000054.7	1825	1597.51	0	0
NM_000055.4	2405	2177.51	26.0947	0.593083
NM_000056.5	1506	1278.51	210.065	8.13152
NM_000057.4	5240	5012.51	428.083	4.22666
NM_000059.4	11954	11726.5	666.721	2.81384
NM_000061.3	2575	2347.51	0	0
NM_000062.3	1830	1602.51	2721.95	84.0626
NM_000063.6	2610	2382.51	5.97932	0.124205
NM_000064.4	5231	5003.51	463	4.57963
NM_000065.5	3691	3463.51	0	0
NM_000066.4	2040	1812.51	0	0
NM_000067.3	1562	1334.51	0	0
NM_000068.4	8660	8432.51	0	0
NM_000069.3	6028	5800.51	0	0
NM_000070.3	3315	3087.51	109.609	1.75696
NM_000071.3	2495	2267.51	1549.8	33.8259
NM_000072.3	2108	1880.51	0.0324076	0.000852893
NM_000073.3	2690	2462.51	0	0
NM_000074.3	1852	1624.51	0	0
NM_000075.4	1865	1637.51	2574.41	77.8066
NM_000076.2	1943	1715.51	6.94852	0.200458
NM_000077.5	978	750.514	59.9675	3.95441
NM_000078.3	1691	1463.51	0	0
NM_000079.4	1984	1756.51	6	0.169053
NM_000080.4	2482	2254.51	22.9105	0.502929
NM_000081.4	13466	13238.5	675.935	2.52691
NM_000082.4	9414	9186.51	294.167	1.58477
NM_000083.3	3187	2959.51	0	0
NM_000084.5	9472	9244.51	0	0
NM_000085.5	2562	2334.51	0	0
NM_000086.2	1879	1651.51	296.607	8.8884
NM_000087.5	2784	2556.51	0	0
NM_000088.4	5914	5686.51	2.08449e+06	18141.7
NM_000089.4	5072	4844.51	1.15359e+06	11784.9
NM_000090.4	5490	5262.51	442906	4165.27
NM_000091.5	8038	7810.51	0	0
NM_000092.5	9984	9756.51	5.58664e-05	2.83387e-07
NM_000093.5	8442	8214.51	124834	752.101
NM_000094.4	9231	9003.51	5018	27.5831
NM_000095.3	2452	2224.51	4199	93.419
NM_000096.4	4452	4224.51	0	0
NM_000097.7	2709	2481.51	2212.67	44.129
NM_000098.3	2699	2471.51	406.675	8.14345
NM_000099.4	793	565.754	7689.42	672.652
NM_000100.4	588	363.335	2427	330.588
NM_000101.4	692	465.501	2169.76	230.683
NM_000102.4	1750	1522.51	0	0
NM_000103.4	4403	4175.51	1.99031e-05	2.35903e-07
NM_000104.4	5218	4990.51	9177	91.008
NM_000106.6	1588	1360.51	0	0
NM_000107.3	1815	1587.51	430.557	13.4226
NM_000108.5	3537	3309.51	2598.72	38.8615
NM_000109.4	13854	13626.5	0	0
NM_000110.4	4423	4195.51	1803.59	21.2754
NM_000111.3	2882	2654.51	0	0
NM_000112.4	8054	7826.51	1755	11.0977
NM_000113.3	2080	1852.51	3028	80.8944
NM_000115.5	4274	4046.51	0	0
NM_000116.5	1906	1678.51	17.7204	0.522484
NM_000117.3	1281	1053.51	1895	89.0211
NM_000118.4	3082	2854.51	432.45	7.49771
NM_000119.3	2434	2206.51	0	0
NM_000120.4	1780	1552.51	11.9079	0.379598
NM_000121.4	2411	2183.51	207.377	4.70034
NM_000122.2	2718	2490.51	1720.76	34.1945
NM_000123.4	3888	3660.51	2598.38	35.1306
NM_000124.4	9001	8773.51	863.158	4.86901
NM_000125.4	6327	6099.51	0	0
NM_000126.4	2289	2061.51	742.322	17.8209
NM_000127.3	8243	8015.51	11391	70.3323
NM_000128.4	3053	2825.51	0	0
NM_000129.4	3828	3600.51	0	0
NM_000130.5	9132	8904.51	2.02877	0.0112758
NM_000131.4	3144	2916.51	0	0
NM_000132.4	9032	8804.51	18.626	0.104698
NM_000133.4	2800	2572.51	0	0
NM_000134.4	2226	1998.51	0	0
NM_000135.4	5452	5224.51	1026.06	9.71969
NM_000136.3	4592	4364.51	388.456	4.40485
NM_000137.4	1456	1228.51	372.324	14.9991
NM_000138.5	11609	11381.5	117708	511.834
NM_000139.5	3648	3420.51	0	0
NM_000140.5	7689	7461.51	1148.45	7.61747
NM_000141.5	4624	4396.51	0	0
NM_000142.5	4301	4073.51	14.2004	0.172526
