target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4382.08	438.283	5.23559
NM_000015.3	1285	1057.08	0	0
NM_000016.6	2261	2033.08	1049.45	27.0208
NM_000017.4	1859	1631.08	156	5.00657
NM_000018.4	2184	1956.08	8210.42	219.72
NM_000019.4	1537	1309.08	1188.08	47.5085
NM_000020.3	4177	3949.08	0	0
NM_000021.4	6018	5790.08	939.695	8.4956
NM_000022.4	1496	1268.08	322.963	13.332
NM_000023.4	1429	1201.08	0	0
NM_000024.6	2013	1785.08	28	0.821091
NM_000025.3	2585	2357.08	1.03487	0.0229827
NM_000026.4	4359	4131.08	133.946	1.6973
NM_000027.4	2037	1809.08	640.637	18.5372
NM_000028.3	7314	7086.08	0	0
NM_000030.3	2900	2672.08	0	0
NM_000031.6	3129	2901.08	1174.69	21.196
NM_000032.5	1940	1712.08	0	0
NM_000033.4	3669	3441.08	653.292	9.93811
NM_000035.4	2420	2192.08	0	0
NM_000036.3	2335	2107.08	0	0
NM_000037.4	8292	8064.08	0	0
NM_000038.6	10704	10476.1	490.027	2.44857
NM_000039.3	899	671.153	2	0.155991
NM_000040.3	535	312.944	0	0
NM_000041.4	1166	938.084	70.1833	3.91637
NM_000042.3	1174	946.084	0	0
NM_000043.6	3696	3468.08	2170.82	32.7661
NM_000044.6	10667	10439.1	425.82	2.13529
NM_000045.4	1447	1219.08	0	0
NM_000046.5	4852	4624.08	1450.25	16.4176
NM_000047.3	2219	1991.08	0	0
NM_000048.4	2140	1912.08	725.116	19.8515
NM_000049.4	5422	5194.08	10.3218	0.104025
NM_000050.4	1863	1635.08	44.3732	1.4206
NM_000051.4	12915	12687.1	534.576	2.20566
NM_000052.7	8492	8264.08	906.025	5.73901
NM_000053.4	6598	6370.08	0.0378059	0.000310675
NM_000054.7	1825	1597.08	0	0
NM_000055.4	2405	2177.08	73.8432	1.77553
NM_000056.5	1506	1278.08	212.96	8.72229
NM_000057.4	5240	5012.08	457.127	4.77431
NM_000059.4	11954	11726.1	767.961	3.42829
NM_000061.3	2575	2347.08	1	0.022303
NM_000062.3	1830	1602.08	3046.01	99.5263
NM_000063.6	2610	2382.08	49.8774	1.09607
NM_000064.4	5231	5003.08	1301	13.6123
NM_000065.5	3691	3463.08	0	0
NM_000066.4	2040	1812.08	0	0
NM_000067.3	1562	1334.08	11.2108	0.439891
NM_000068.4	8660	8432.08	0	0
NM_000069.3	6028	5800.08	0	0
NM_000070.3	3315	3087.08	104.832	1.77761
NM_000071.3	2495	2267.08	1743.99	40.2687
NM_000072.3	2108	1880.08	9.53153	0.265385
NM_000073.3	2690	2462.08	0	0
NM_000074.3	1852	1624.08	0	0
NM_000075.4	1865	1637.08	2625.28	83.9452
NM_000076.2	1943	1715.08	4.58692	0.14
NM_000077.5	978	750.084	63.4167	4.42574
NM_000078.3	1691	1463.08	4	0.143114
NM_000079.4	1984	1756.08	4	0.119236
NM_000080.4	2482	2254.08	12.5738	0.292004
NM_000081.4	13466	13238.1	449.116	1.77593
NM_000082.4	9414	9186.08	221.197	1.2605
NM_000083.3	3187	2959.08	0	0
NM_000084.5	9472	9244.08	0	0
NM_000085.5	2562	2334.08	0	0
NM_000086.2	1879	1651.08	153.999	4.88248
NM_000087.5	2784	2556.08	0	0
NM_000088.4	5914	5686.08	2.23618e+06	20586.6
NM_000089.4	5072	4844.08	1.25867e+06	13601.6
NM_000090.4	5490	5262.08	596724	5936.19
NM_000091.5	8038	7810.08	0	0
NM_000092.5	9984	9756.08	2.46775e-08	1.32409e-10
NM_000093.5	8442	8214.08	181184	1154.66
NM_000094.4	9231	9003.08	5000.24	29.0731
NM_000095.3	2452	2224.08	2624	61.7596
NM_000096.4	4452	4224.08	0	0
NM_000097.7	2709	2481.08	2121.72	44.7651
NM_000098.3	2699	2471.08	478.809	10.143
NM_000099.4	793	565.455	7847.67	726.498
NM_000100.4	588	363.545	2175	313.179
NM_000101.4	692	465.428	1531.87	172.291
NM_000102.4	1750	1522.08	1	0.0343917
NM_000103.4	4403	4175.08	2.27456e-05	2.85183e-07
NM_000104.4	5218	4990.08	8907	93.4362
NM_000106.6	1588	1360.08	0	0
NM_000107.3	1815	1587.08	475.158	15.6722
NM_000108.5	3537	3309.08	2379.1	37.6355
NM_000109.4	13854	13626.1	0	0
NM_000110.4	4423	4195.08	1726.96	21.5493
NM_000111.3	2882	2654.08	0	0
NM_000112.4	8054	7826.08	1602.7	10.7201
NM_000113.3	2080	1852.08	2680	75.7471
NM_000115.5	4274	4046.08	0	0
NM_000116.5	1906	1678.08	30.2454	0.943491
NM_000117.3	1281	1053.08	1779	88.431
NM_000118.4	3082	2854.08	683.033	12.5276
NM_000119.3	2434	2206.08	0	0
NM_000120.4	1780	1552.08	0	0
NM_000121.4	2411	2183.08	227.14	5.44646
NM_000122.2	2718	2490.08	1442.82	30.3312
NM_000123.4	3888	3660.08	2382.3	34.072
NM_000124.4	9001	8773.08	885.658	5.28452
NM_000125.4	6327	6099.08	0	0
NM_000126.4	2289	2061.08	717.614	18.2258
NM_000127.3	8243	8015.08	10267.3	67.0565
NM_000128.4	3053	2825.08	0	0
NM_000129.4	3828	3600.08	0	0
NM_000130.5	9132	8904.08	11	0.0646689
NM_000131.4	3144	2916.08	0	0
NM_000132.4	9032	8804.08	37.106	0.220624
NM_000133.4	2800	2572.08	0	0
NM_000134.4	2226	1998.08	0	0
NM_000135.4	5452	5224.08	1008.31	10.1035
NM_000136.3	4592	4364.08	282.97	3.39421
NM_000137.4	1456	1228.08	312.123	13.3042
NM_000138.5	11609	11381.1	115531	531.382
NM_000139.5	3648	3420.08	0	0
NM_000140.5	7689	7461.08	1049.76	7.36513
NM_000141.5	4624	4396.08	0	0
NM_000142.5	4301	4073.08	77.9824	1.00222
NM_000143.4	1791	1563.08	2426	81.2457
NM_000144.5	6978	6750.08	208.305	1.61541
NM_000145.4	2762	2534.08	0	0
NM_000146.4	871	643.219	25831	2102.2
