target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4398.78	1079.13	12.9749
NM_000015.3	1285	1073.78	0	0
NM_000016.6	2261	2049.78	728.401	18.7942
NM_000017.4	1859	1647.78	202.139	6.48804
NM_000018.4	2184	1972.78	8847.61	237.197
NM_000019.4	1537	1325.78	1547.65	61.7395
NM_000020.3	4177	3965.78	0	0
NM_000021.4	6018	5806.78	803.079	7.3145
NM_000022.4	1496	1284.78	272.309	11.2097
NM_000023.4	1429	1217.78	7.70755	0.334742
NM_000024.6	2013	1801.78	26	0.763191
NM_000025.3	2585	2373.78	3.30823	0.0737085
NM_000026.4	4359	4147.78	243.157	3.10051
NM_000027.4	2037	1825.78	447.848	12.9731
NM_000028.3	7314	7102.78	0	0
NM_000030.3	2900	2688.78	1.0028	0.0197253
NM_000031.6	3129	2917.78	1814.51	32.8903
NM_000032.5	1940	1728.78	0	0
NM_000033.4	3669	3457.78	926.764	14.1753
NM_000035.4	2420	2208.78	1	0.0239447
NM_000036.3	2335	2123.78	0	0
NM_000037.4	8292	8080.78	0	0
NM_000038.6	10704	10492.8	564.816	2.84693
NM_000039.3	899	687.849	0	0
NM_000040.3	535	327.08	0	0
NM_000041.4	1166	954.777	85	4.70845
NM_000042.3	1174	962.777	0	0
NM_000043.6	3696	3484.78	1637.59	24.8537
NM_000044.6	10667	10455.8	366.815	1.85546
NM_000045.4	1447	1235.78	0	0
NM_000046.5	4852	4640.78	2923.37	33.3161
NM_000047.3	2219	2007.78	0	0
NM_000048.4	2140	1928.78	494.431	13.5577
NM_000049.4	5422	5210.78	20.8061	0.211178
NM_000050.4	1863	1651.78	24.9617	0.799251
NM_000051.4	12915	12703.8	942.853	3.92529
NM_000052.7	8492	8280.78	756.517	4.8318
NM_000053.4	6598	6386.78	0	0
NM_000054.7	1825	1613.78	0	0
NM_000055.4	2405	2193.78	27.3334	0.658964
NM_000056.5	1506	1294.78	279.854	11.4314
NM_000057.4	5240	5028.78	385.678	4.05624
NM_000059.4	11954	11742.8	379.422	1.70889
NM_000061.3	2575	2363.78	0	0
NM_000062.3	1830	1618.78	3168.12	103.509
NM_000063.6	2610	2398.78	43.9283	0.968535
NM_000064.4	5231	5019.78	1480	15.5933
NM_000065.5	3691	3479.78	0	0
NM_000066.4	2040	1828.78	0	0
NM_000067.3	1562	1350.78	65	2.54502
NM_000068.4	8660	8448.78	0	0
NM_000069.3	6028	5816.78	0	0
NM_000070.3	3315	3103.78	136.887	2.33255
