target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4386.29	2689.42	27.5764
NM_000015.3	1285	1061.29	1.57449	0.0667237
NM_000016.6	2261	2037.29	1123.75	24.8081
NM_000017.4	1859	1635.29	130.814	3.59778
NM_000018.4	2184	1960.29	8652.13	198.508
NM_000019.4	1537	1313.29	1511.85	51.7754
NM_000020.3	4177	3953.29	0	0
NM_000021.4	6018	5794.29	685.326	5.31952
NM_000022.4	1496	1272.29	516.498	18.2582
NM_000023.4	1429	1205.29	28.1349	1.04985
NM_000024.6	2013	1789.29	44	1.10598
NM_000025.3	2585	2361.29	1.05756	0.0201434
NM_000026.4	4359	4135.29	142.6	1.55091
NM_000027.4	2037	1813.29	520.016	12.8981
NM_000028.3	7314	7090.29	0	0
NM_000030.3	2900	2676.29	1.32394	0.022249
NM_000031.6	3129	2905.29	1543.08	23.8877
NM_000032.5	1940	1716.29	0	0
NM_000033.4	3669	3445.29	722.21	9.42786
NM_000035.4	2420	2196.29	4	0.0819116
NM_000036.3	2335	2111.29	0.000481602	1.02592e-05
NM_000037.4	8292	8068.29	0	0
NM_000038.6	10704	10480.3	844.254	3.62306
NM_000039.3	899	675.363	0	0
NM_000040.3	535	315.371	0	0
NM_000041.4	1166	942.293	113.219	5.40393
NM_000042.3	1174	950.293	0	0
NM_000043.6	3696	3472.29	1829.15	23.6924
NM_000044.6	10667	10443.3	621.833	2.67801
NM_000045.4	1447	1223.29	0	0
NM_000046.5	4852	4628.29	2121.56	20.6163
NM_000047.3	2219	1995.29	25.8954	0.583702
NM_000048.4	2140	1916.29	831.619	19.5181
NM_000049.4	5422	5198.29	17.3333	0.149968
NM_000050.4	1863	1639.29	37.6159	1.03203
NM_000051.4	12915	12691.3	1177.14	4.17157
NM_000052.7	8492	8268.29	1169.44	6.3612
NM_000053.4	6598	6374.29	4.35328	0.0307157
NM_000054.7	1825	1601.29	0	0
NM_000055.4	2405	2181.29	52	1.07217
NM_000056.5	1506	1282.29	185.549	6.50798
NM_000057.4	5240	5016.29	697.355	6.2524
NM_000059.4	11954	11730.3	434.914	1.66752
NM_000061.3	2575	2351.29	1	0.019128
NM_000062.3	1830	1606.29	1460.55	40.8948
