target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4378.54	1544.94	18.4768
NM_000015.3	1285	1053.54	0	0
NM_000016.6	2261	2029.54	750.16	19.3553
NM_000017.4	1859	1627.54	145	4.66531
NM_000018.4	2184	1952.54	10059.6	269.789
NM_000019.4	1537	1305.54	1380.76	55.3824
NM_000020.3	4177	3945.54	0	0
NM_000021.4	6018	5786.54	818.172	7.40407
NM_000022.4	1496	1264.54	279.771	11.5855
NM_000023.4	1429	1197.54	47.9286	2.09579
NM_000024.6	2013	1781.54	26	0.764226
NM_000025.3	2585	2353.54	0	0
NM_000026.4	4359	4127.54	177.727	2.25479
NM_000027.4	2037	1805.54	523.893	15.1943
NM_000028.3	7314	7082.54	0	0
NM_000030.3	2900	2668.54	0	0
NM_000031.6	3129	2897.54	1825.17	32.9852
NM_000032.5	1940	1708.54	0	0
NM_000033.4	3669	3437.54	1003.68	15.2895
NM_000035.4	2420	2188.54	3	0.0717813
NM_000036.3	2335	2103.54	0	0
NM_000037.4	8292	8060.54	10.2195	0.0663915
NM_000038.6	10704	10472.5	380.46	1.9024
NM_000039.3	899	667.759	0	0
NM_000040.3	535	310.092	0	0
NM_000041.4	1166	934.544	96.0524	5.38213
NM_000042.3	1174	942.544	0	0
NM_000043.6	3696	3464.54	1183.15	17.8829
NM_000044.6	10667	10435.5	550.165	2.76073
NM_000045.4	1447	1215.54	0	0
NM_000046.5	4852	4620.54	2760.89	31.2897
NM_000047.3	2219	1987.54	7.17627	0.189072
NM_000048.4	2140	1908.54	734.2	20.1445
NM_000049.4	5422	5190.54	21.2381	0.214264
NM_000050.4	1863	1631.54	35.5926	1.14237
NM_000051.4	12915	12683.5	1055.38	4.35727
NM_000052.7	8492	8260.54	789.609	5.00552
NM_000053.4	6598	6366.54	0	0
NM_000054.7	1825	1593.54	0	0
NM_000055.4	2405	2173.54	41.1522	0.991447
NM_000056.5	1506	1274.54	190.456	7.82503
NM_000057.4	5240	5008.54	304.667	3.18537
NM_000059.4	11954	11722.5	259.003	1.15699
NM_000061.3	2575	2343.54	3	0.0670337
NM_000062.3	1830	1598.54	2644.02	86.6136
NM_000063.6	2610	2378.54	33.252	0.732068
NM_000064.4	5231	4999.54	313	3.27838
NM_000065.5	3691	3459.54	0	0
NM_000066.4	2040	1808.54	0	0
NM_000067.3	1562	1330.54	16	0.629703
NM_000068.4	8660	8428.54	0	0
NM_000069.3	6028	5796.54	0	0
NM_000070.3	3315	3083.54	142.376	2.41786
NM_000071.3	2495	2263.54	621.17	14.3703
NM_000072.3	2108	1876.54	223.518	6.23733
NM_000073.3	2690	2458.54	0	0
NM_000074.3	1852	1620.54	0	0
NM_000075.4	1865	1633.54	2257.8	72.3769
NM_000076.2	1943	1711.54	15.0031	0.459026
NM_000077.5	978	746.62	59.392	4.16557
NM_000078.3	1691	1459.54	8.10858	0.29092
NM_000079.4	1984	1752.54	11	0.328677
NM_000080.4	2482	2250.54	10.5616	0.245746
NM_000081.4	13466	13234.5	468.019	1.85182
NM_000082.4	9414	9182.54	268.705	1.53235
NM_000083.3	3187	2955.54	0	0
NM_000084.5	9472	9240.54	87.4968	0.495838
NM_000085.5	2562	2330.54	0	0
NM_000086.2	1879	1647.54	250.167	7.95131
NM_000087.5	2784	2552.54	0	0
NM_000088.4	5914	5682.54	2.24904e+06	20725.2
NM_000089.4	5072	4840.54	1.13034e+06	12228.2
NM_000090.4	5490	5258.54	471860	4698.87
NM_000091.5	8038	7806.54	0	0
NM_000092.5	9984	9752.54	2.41089e-06	1.29451e-08
NM_000093.5	8442	8210.54	124726	795.482
NM_000094.4	9231	8999.54	5386.46	31.3421
NM_000095.3	2452	2220.54	4765	112.37
NM_000096.4	4452	4220.54	0	0
NM_000097.7	2709	2477.54	2367.74	50.0446
NM_000098.3	2699	2467.54	617.863	13.1121
NM_000099.4	793	561.819	8603.2	801.879
NM_000100.4	588	360.317	2192	318.567
NM_000101.4	692	461.673	2333.01	264.623
NM_000102.4	1750	1518.54	1	0.034484
NM_000103.4	4403	4171.54	0	0
NM_000104.4	5218	4986.54	15365	161.353
NM_000106.6	1588	1356.54	4.65479	0.179685
NM_000107.3	1815	1583.54	581.272	19.2218
NM_000108.5	3537	3305.54	2430.17	38.4981
NM_000109.4	13854	13622.5	0	0
NM_000110.4	4423	4191.54	1252.16	15.6434
NM_000111.3	2882	2650.54	2	0.039513
NM_000112.4	8054	7822.54	1761.56	11.7922
NM_000113.3	2080	1848.54	2980	84.4174
NM_000115.5	4274	4042.54	0	0
NM_000116.5	1906	1674.54	25.4654	0.796341
NM_000117.3	1281	1049.54	1863	92.9517
NM_000118.4	3082	2850.54	889.047	16.3321
NM_000119.3	2434	2202.54	0	0
NM_000120.4	1780	1548.54	0	0
NM_000121.4	2411	2179.54	241.23	5.79576
NM_000122.2	2718	2486.54	1587.52	33.4325
NM_000123.4	3888	3656.54	3079.79	44.1058
NM_000124.4	9001	8769.54	760.198	4.53936
NM_000125.4	6327	6095.54	0	0
NM_000126.4	2289	2057.54	518.375	13.1929
NM_000127.3	8243	8011.54	11657	76.1932
NM_000128.4	3053	2821.54	0	0
NM_000129.4	3828	3596.54	2	0.0291199
NM_000130.5	9132	8900.54	9.13345	0.0537358
NM_000131.4	3144	2912.54	0	0
NM_000132.4	9032	8800.54	26.8991	0.160057
NM_000133.4	2800	2568.54	0	0
NM_000134.4	2226	1994.54	3.42625	0.0899542
NM_000135.4	5452	5220.54	896.813	8.99562
NM_000136.3	4592	4360.54	297.266	3.56985
NM_000137.4	1456	1224.54	394.626	16.8755
NM_000138.5	11609	11377.5	116125	534.468
NM_000139.5	3648	3416.54	0	0
NM_000140.5	7689	7457.54	819.924	5.75736
NM_000141.5	4624	4392.54	0.310314	0.00369939
NM_000142.5	4301	4069.54	0.984506	0.0126683
NM_000143.4	1791	1559.54	2424	81.3917
NM_000144.5	6978	6746.54	216.654	1.68163
NM_000145.4	2762	2530.54	0	0
NM_000146.4	871	639.759	35011	2865.72
NM_000147.5	2043	1811.54	221.702	6.40863
NM_000148.4	4214	3982.54	0	0
NM_000149.4	2565	2333.54	0	0
NM_000150.4	3326	3094.54	0	0
NM_000151.4	4164	3932.54	0	0
NM_000152.5	3751	3519.54	48.8803	0.727265
NM_000153.4	3794	3562.54	936.993	13.7728
NM_000154.2	1397	1165.54	627.874	28.2091
NM_000155.4	1756	1524.54	355.321	12.2047
NM_000156.6	1110	878.544	198.635	11.8396
NM_000157.4	2291	2059.54	2061.95	52.4267
NM_000158.4	2941	2709.54	11646.9	225.092
NM_000159.4	1852	1620.54	377.84	12.2093
NM_000160.5	2030	1798.54	0	0
NM_000161.3	2916	2684.54	84.2933	1.64425
NM_000162.5	2745	2513.54	0	0
NM_000163.5	4899	4667.54	104.726	1.17493
NM_000164.4	3310	3078.54	6.33868	0.10782
NM_000165.5	3083	2851.54	15794	290.04
NM_000166.6	1937	1705.54	0	0
NM_000167.6	4410	4178.54	64.1994	0.804547
NM_000168.6	8405	8173.54	112.598	0.721384
NM_000169.3	1318	1086.54	1086.91	52.3833
NM_000170.3	3843	3611.54	45	0.652477
NM_000171.4	1812	1580.54	0	0
NM_000172.4	2465	2233.54	6.14893	0.144162
NM_000173.7	2514	2282.54	21	0.481776
NM_000174.5	877	645.759	0	0
NM_000175.5	4125	3893.54	14697.8	197.675
NM_000176.3	6778	6546.54	478.218	3.82525
NM_000177.5	2619	2387.54	1447.09	31.7386
NM_000178.4	1909	1677.54	1429.48	44.622
NM_000179.3	4265	4033.54	2272.17	29.4985
NM_000180.4	3680	3448.54	1.50524	0.0228567
NM_000181.4	2199	1967.54	441.118	11.7402
NM_000182.5	2943	2711.54	6034.96	116.548
